FacultyID,FirstName,LastName,MiddleName,Email,Title,Position,OfficeLocation,BioText,BioPhotoLink,CVFileLink,UserName,UserPassword,FirstAccessDate,LastAccessDate
1,a,Cloninger,T.,JenniferTLyda@jourrapide.com,MD,"Assistant Professor of Clinical Emergency Medicine","2443 Philadelphia Avenue, Salt Lake City, UT 84116",,,,ChadMWorthington@armyspy.com,ootei2zae8Ee,"2014-04-16 19:11:43","2014-04-17 00:58:38"
2,Charlie,Brock,J.,DonJCummings@teleworm.us,DO,"Associate Medical Director of EM Eskenazi","4954 Angie Drive, Westminster, CA 92683",,,,RobertJSmith@dayrep.com,laeSh7Ok7,"2013-08-20 00:00:00","2013-09-20 00:00:00"
3,Courtney,Hoff,S.,JohnLCohen@teleworm.us,PhD,"CTSI Fellow","4309 Mercer Street, Baldwin, WI 54002",,,,MauricioELivingston@teleworm.us,dah4beenai,"2013-06-20 00:00:00","2013-08-20 00:00:00"
4,Griselada,Funke,D.,SvetlanaLMartin@teleworm.us,MS,"Division Director, Toxicology","199 Parkway Street, San Diego, CA 92111",,,,FlorenceJSettle@jourrapide.com,4c25262v,"2013-06-20 00:00:00","2013-09-20 00:00:00"
5,Leono,Damm,E.,MichaelACostello@rhyta.com,MD,"Medical Director Indiana Poison Center","3078 Jail Drive, Peoria, IL 61602",,,,JamesAMartin@teleworm.us,dcadc4c4q5v,"2013-08-25 00:00:00","2013-12-25 00:00:00"
6,Pricilla,Stephens,E.,GwenPGardner@rhyta.com,DO,"Assistant Dean for Curriculum in the Clinical Scie","628 Pooh Bear Lane, Greenville, SC 29601",,,,SharonSShawver@teleworm.us,ceqecq5vq5r,"2013-06-01 00:00:00","2013-07-01 00:00:00"
7,Demetria,Davis,L.,JohnSStephens@rhyta.com,PhD,"Chief of Indianapolis Emergency Medical Services","4903 Elliott Street, Manchester, NH 03101",,,,AnneJRigsby@teleworm.us,ceqe5b,"2013-06-15 00:00:00","2013-09-15 00:00:00"
8,Kennethq,Thornton,L.,FrederickCRodriguez@rhyta.com,MS,"Sally Reahard Scholar in Emergency Medicine","4158 Lyon Avenue, Middleboro, MA 02346",,,,JuanENeill@dayrep.com,dc4ecqsa,"2013-08-20 00:00:00","2013-10-20 00:00:00"
9,Erin,Scott,E.,AnnetteBRiggs@armyspy.com,MD,"Vice Chair for Faculty Affairs","4264 Clarence Court, Fayetteville, NC 28306",,,,JuanMMcIntosh@teleworm.us,efv0u3259,"2013-06-20 00:00:00","2013-11-20 00:00:00"
10,Juan,Katz,M.,JimmyFHarlow@rhyta.com,DO,"EMS Director IU Health","3654 East Avenue, Phoenix, AZ 85016",,,,TheresaSFrantz@teleworm.us,v3n05cu09,"2013-06-20 00:00:00","2013-11-20 00:00:00"
11,Jennifer,Walton,S.,EdwardEDesai@teleworm.us,PhD,"Medical Director Indianapolis Motor Speedway","2851 Stanton Hollow Road, Worcester, MA 01610",,,,AnnieKDove@armyspy.com,vn450v9q,"2013-08-25 00:00:00","2013-12-25 00:00:00"
12,Gordon,Polk,V.,KatherineDMedina@rhyta.com,MS,"Vice Chair for Research","1548 Southern Avenue, Des Moines, IA 50309",,,,KathleenDMoore@jourrapide.com,c35rc890c4,"2013-06-01 00:00:00","2013-12-01 00:00:00"
13,Eduardo,Chaves,E,JamesDBrinson@jourrapide.com,DO,"Sally Reahard Scholar in Emergency Medicine","4767 Driftwood Road, San Jose, CA 95131",,,,CassandraTWeiss@dayrep.com,Gothee8ei,"2013-08-20 00:00:00","2013-08-25 00:00:00"
14,Jose,Gomes,J,KatrinaKDiaz@jourrapide.com,MD,"Assistant Dean for Curriculum in the Clinical Scie","4976 Jones Street, Dallas, TX 75247",,,,CharlesNGuinyard@rhyta.com,6g3v63v62bh7b2q25,"2013-12-12 00:00:00","2014-01-01 00:00:00"
15,ACong,AQi,,Aworldopensforyou@gmail.com,TitleCong,PositionCong,OfficeLocationCong,BioTextCong,BioLinkCong,CVFileLinkCong,Aworldopensforyou@gmail.com,Apassword,"2014-03-19 14:23:21","2014-03-13 14:23:24"
16,cong,Qi,,aaaaaaaaaa,dddddddddddddddddddd,,,,,,worldopensforyou@gmail.com,R46RDT1X3BWO,"0000-00-00 00:00:00","2014-04-16 15:12:48"
21,Dalton,Qi,A,,,,,,,,dmcmulle@gmail.com,1ZASYWI4IL3Q,"0000-00-00 00:00:00","0000-00-00 00:00:00"
22,Dalton,asdljkf,asldfkas,,,,,,,,239048239048239048@mailinator.com,78SR5HHHMRB1,"2014-04-11 20:19:48","2014-04-11 20:38:09"
23,Dalton,Wow,"The Man",,,,,,,,WGVOFFLBKPDJ@mailinator.com,XSRCT8VIIBPD,,"2014-04-16 15:42:14"
24,asdf,wow,asdf,,,,,,,,wgvofflbkpdj@mailismagic.com,8ZLZY43XUU6F,,
25,test,one,this,,,,,,,,asdlfjaskldf2329x992@mailismagic.com,I66QR4546MQC,,"2014-04-17 00:07:00"
26,asdfasdf,asdfasdf,asdfasdf,,,,,,,,asdfasdfasdfklj234kl2j4l@gmail.com,PZ6Z33R9B6H7,"2014-04-11 20:33:07","2014-04-11 20:33:07"
27,Dalton,McMullen,asdf,,,,,,,,234234234@gmail.com,OQLP82GVFM7Z,"0000-00-00 00:00:00","2014-04-16 22:55:30"
